,Gene,Function,Supportability,Entrez Gene ID,cel-u.2 for egl-15,cel-m.4 for egl-15,cel-r.2 for egl-15,dme-u.2 for btl,dme-u.2 for htl,hsa-u.2 for FGFR2,hsa-u.2 for FGFR1,hsa-u.2 for FGFR3,mmu-u.2 for Fgfr4,mmu-u.2 for Fgfr3,mmu-u.2 for Fgfr2,rno-u.2 for Fgfr4,rno-u.2 for Fgfr1,rno-u.2 for Fgfr2,gga-u.2 for FGFR3,gga-u.2 for FGFR4,gga-u.2 for FGFR2,dre-u.2 for fgfr1b,dre-u.2 for fgfr1a,dre-u.2 for fgfr3,mcc-u.2 for FGFR4,mcc-u.2 for FGFR2,mcc-u.2 for FGFR3,cfa-u.2 for FGFR4,cfa-u.2 for FGFR3,cfa-u.2 for FGFR2
10,F22E12.1,hypothetical protein,2,179460,2227.95,1886.08,1898.41,,,9793.93,16053.14,9499.39,8663.33,10386.81,10668.48,9173.06,9171.12,9522.34,,,,10949.14,12029.3,13629.19,10043.8,12152.05,12974.9,6088.05,9692.02,8590.86
11,unc-13,Phorbol ester/diacylglycerol-binding protein unc-13|hypothetical protein,2,172497,2242.31,1952.35,1857.67,8772.1,8181.02,11491.69,11321.23,7740.95,11357.02,11493.85,9038.41,10212.7,6987.12,7604.77,6922.55,8282.47,5174.23,10034.12,7855.1,8871.09,9847.81,8838.12,9459.41,9616.83,9825.18,9696.75
12,tag-241,hypothetical protein,3,181360,2260.9,1385.76,2624.22,,,10917.49,7428.1,7855.89,10439.5,10053.59,7019.67,11620.17,10362.16,9874.43,9069.42,9915.9,6492.35,12397.31,8773.17,9851.08,12503.83,7569.08,7941.7,10124.94,11430.27,9742.11
13,acs-17,fatty Acid CoA Synthetase family,2,180859,2290.76,2184.44,1730.35,8234.21,6938.98,15765.08,11013.97,11579.15,10704.86,7378.29,7773.68,9319.1,7865.29,9564.25,9418.92,11015.16,6388.74,10054.79,9720.1,9805.93,11162.12,10216.83,12036.41,11212.09,11439.66,11843.08
14,F41G4.8,hypothetical protein,2,185637,2310.37,1333.42,2831.49,,,,,,,,,,,,,,,,,,,,,,,
15,srap-1,Serine Rich Adhesion Protein-like,2,174709,2326.82,2074.87,1881.91,,,,,,,,,,,,,,,,,,,,,,,
16,K02C4.5,hypothetical protein,2,174299,2329.81,1595.83,2437.73,,,,,,,,,,,,,,,,,,,,,,,
17,C34D10.2,hypothetical protein,2,181059,2394.58,2409.03,1710.96,8723.41,5938.99,12887.19,9605.63,12001.23,10640.57,8480.92,10096.12,9165.69,8359.83,9638.56,11220.32,6187.0,12832.83,9245.46,11256.87,6654.78,8294.38,11514.97,9324.36,9836.93,9285.17,12129.08
18,K03H1.5,hypothetical protein,2,176404,2427.67,2535.53,1667.56,7307.44,5920.02,10448.65,9745.58,6851.71,10795.93,9097.08,11318.14,6985.11,8539.72,8886.02,10357.31,10257.13,9662.18,15779.6,13215.33,10426.5,5698.23,11662.28,7032.29,8451.55,7161.04,8446.39
19,hum-6,Unconventional myosin heavy chain 6,2,180539,2485.54,2673.77,1654.3,6774.8,5212.74,13268.75,11812.73,11551.09,7223.57,12901.86,11682.05,5843.89,7046.88,9783.79,8813.51,7782.92,8879.77,9397.3,9839.07,9963.04,5404.95,11158.24,10086.66,8465.32,9565.05,11184.8
20,best-24,Bestrophin homolog 24,2,176110,2529.71,1529.51,2967.43,7661.61,3415.95,10586.49,10839.05,11883.75,8990.68,11194.65,11084.35,7366.39,10345.85,10209.27,8730.44,8250.56,9900.09,12655.42,12807.58,10006.32,6562.28,9597.91,8955.61,8074.78,9685.43,10735.89
21,pgp-10,P-GlycoProtein related,2,180981,2542.37,1785.89,2596.08,6529.59,3943.93,9556.72,10193.83,11967.22,6702.81,10356.25,8653.98,6366.5,7453.14,7977.61,7161.35,10827.38,4351.77,10613.35,10790.26,8618.0,9362.94,8987.03,10737.29,10217.32,11097.79,9306.1
22,T01E8.1,hypothetical protein,1,174584,2569.97,1275.57,3583.22,,,,,,,,,,,,,,,,,,,,,,,
23,snf-3,Sodium-and chloride-dependent betaine transporter,2,173493,2597.0,5372.31,784.17,4681.55,4106.73,9538.61,9521.88,4610.92,6470.01,7084.05,9749.74,5098.75,4542.59,6622.74,6490.62,8058.32,7520.61,11501.23,8361.11,7283.12,8849.68,4474.37,6157.31,6374.2,7737.34,8593.35
24,egl-44,Transcription enhancer factor-like protein egl-44|hypothetical protein,1,174005,2645.51,2543.79,1980.68,5708.1,5205.26,7401.02,6308.33,5155.76,6090.94,5348.32,4970.69,4807.77,6151.4,5644.91,10531.66,7522.41,8635.11,6766.03,2714.79,7301.27,5286.64,8893.72,5748.74,10039.77,6805.95,7550.56
25,ptr-4,PaTched Related family,3,180876,2648.82,2451.09,2063.07,,,,,,,,,,,,,,,,,,,,,,,
26,F14D12.1,hypothetical protein,0,180829,2664.52,2423.42,2112.17,,,9752.41,12228.29,7731.6,8937.31,7306.94,14960.03,9122.91,9607.91,10936.48,9523.73,12880.17,8013.19,10246.16,9021.89,10957.72,10717.01,11861.31,9568.28,11871.97,7001.91,11654.25
27,oac-46,O-ACyltransferase homolog,2,174415,2677.04,2955.27,1731.53,,,,,,,,,,,,,,,,,,,,,,,
28,C14A4.12,hypothetical protein,0,174639,2731.85,2178.64,2468.97,,,,,,,,,,,,,,,,,,,,,,,
29,fozi-1,Formin-homology and zinc finger domains protein 1,2,176308,2732.46,2181.95,2466.39,3155.21,6779.62,11053.26,7138.42,12617.12,10531.53,12020.18,10854.67,8958.97,5221.62,4425.17,7217.31,7375.18,8168.12,7412.19,7935.07,4972.64,9162.59,8519.99,8894.24,9661.4,8145.13,7254.51
30,apl-1,Amyloid-beta-like protein,2,180783,2738.46,2707.16,1991.77,5816.42,7643.21,10160.7,6462.05,11755.31,12480.76,7813.69,6001.14,7697.46,5011.42,6041.37,7476.64,10144.22,5169.84,9005.26,7560.93,6601.58,9504.62,8922.72,8909.2,10543.15,8621.33,6806.41
31,nhl-1,NHL (ring finger b-box coiled coil) domain containing|RING finger protein nhl-1,3,176295,2748.88,2059.99,2638.51,5209.56,4452.26,,,,,,,,,,,,,,,,,,,,,
32,C27B7.7,Ig-like and fibronectin type-III domain-containing protein C27B7.7,2,177708,2771.09,2076.63,2659.77,,,,,,,,,,,,,,,,,,,,,,,
33,F34H10.3,hypothetical protein,2,181180,2832.48,2467.15,2345.69,,,,,,,,,,,,,,,,,,,,,,,
34,T27A10.6,hypothetical protein,3,180649,2834.67,2989.31,1925.0,,,,,,,,,,,,,,,,,,,,,,,
35,VC5.2,hypothetical protein,1,179097,2858.77,1892.41,3081.94,2945.58,2263.98,7598.66,6367.83,3960.08,4936.03,6205.2,5272.75,6365.49,3927.91,5812.19,7240.94,6429.58,6176.64,3176.96,6423.54,3864.77,6717.23,5747.27,7340.87,8761.61,6195.65,6754.26
36,far-7,Fatty Acid/Retinol binding protein,3,173421,2859.68,885.12,5697.41,,,,,,,,,,,,,,,,,,,,,,,
37,plc-1,1-phosphatidylinositol 4:5-bisphosphate phosphodiesterase epsilon-1|Phosphoinositide phospholipase C,2,181274,2881.75,2089.01,2854.36,,,4503.54,11095.92,8090.22,9937.9,5079.99,6223.43,9152.5,5716.21,8048.09,8876.56,9433.35,7732.71,6926.69,11971.42,10784.02,9617.08,2435.04,9151.33,10954.2,12505.92,9079.61
38,pqn-18,Prion-like-(Q/N-rich)-domain-bearing protein,1,181425,2916.88,1618.56,3678.29,,,,,,,,,,,,,,,,,,,,,,,
39,ist-1,Insulin receptor SubsTrate homolog,1,180978,2920.4,2702.78,2274.01,8242.47,6601.71,12360.19,9192.39,12357.11,9157.11,10134.27,5374.51,8301.51,5724.58,6968.49,8576.27,9270.99,6989.96,8163.12,9135.66,6641.21,9890.34,12332.98,12282.24,10191.54,10023.1,8498.26
40,ZC449.5,hypothetical protein,3,180776,2927.04,3340.26,1823.28,,,,,,,,,,,,,,,,,,,,,,,
41,lin-1,hypothetical protein,1,177016,2938.3,3439.8,1778.94,8419.03,7168.27,13905.26,12141.13,13391.62,13139.28,13559.11,14896.78,9363.35,6872.51,12960.63,,,,10375.91,11389.15,7617.14,8420.72,10769.59,11951.06,12446.67,8993.92,11870.86
42,glc-1,Glutamate-gated chloride channel alpha,2,180086,2950.29,2432.39,2580.63,8847.85,7117.43,13095.07,13543.6,13847.19,12222.44,10631.39,12324.69,11416.96,11197.03,6351.37,9172.81,7436.27,8509.59,10830.42,7394.17,8477.91,12007.37,7285.64,9443.44,7153.11,10449.63,10590.63
43,tep-1,TEP (ThiolEster containing Protein),2,173367,2951.36,3270.96,1898.31,3975.98,4921.21,11843.23,9223.95,12736.47,15950.59,13172.1,10814.69,7572.72,7649.61,10470.64,11922.79,10384.13,9808.53,10453.01,12964.71,12060.87,12565.98,12061.99,11447.0,12598.82,10485.33,9808.93
44,F13D2.1,hypothetical protein,1,181305,2954.11,3130.39,1994.94,,,,,,,,,,,,,,,,,,,,,,,
45,F54D1.6,hypothetical protein,3,178037,2969.51,3217.39,1957.6,,,,,,,,,,,,,,,,,,,,,,,
46,fln-2,FiLamiN (actin binding protein) homolog,3,181168,2978.93,3855.01,1607.98,4571.56,6641.94,,,,,,,,,,,,,,,,,,,,,
47,clh-1,Chloride channel protein,2,174821,2988.93,1446.98,4223.11,,,,,,,,,,,,,,,,,,,,,,,
48,F45D3.3,hypothetical protein,2,179717,2995.01,1523.73,4061.19,,,,,,,,,,,,,,,,,,,,,,,
49,snf-11,Transporter,2,191770,3003.02,3057.34,2116.48,4681.55,4106.73,9538.61,9521.88,4610.92,6470.01,7084.05,9749.74,5098.75,4542.59,6622.74,6490.62,8058.32,7520.61,11501.23,8361.11,7283.12,8849.68,4474.37,6157.31,6374.2,7737.34,8593.35
50,sta-2,Signal transducer and activator of transcription b,0,3565291,3012.52,,1691.61,,,,,,,,,,,,,,,,,,,,,,,
51,C32E12.4,hypothetical protein,3,172163,3060.35,1594.19,4064.64,,,,,,,,,,,,,,,,,,,,,,,
52,K01A2.10,hypothetical protein,2,173422,3080.45,2131.71,3185.23,,,12705.79,10994.41,12901.73,10407.4,10207.48,10412.75,9065.7,9101.83,10218.81,9321.12,8682.34,9386.56,12634.33,9771.86,11790.45,11712.07,11138.65,11487.65,13112.97,12996.44,12386.97
53,ZC190.4,hypothetical protein,0,179248,3084.02,7714.28,659.3,8750.62,8978.65,9835.25,7167.42,11858.48,12449.82,7816.07,6622.2,9911.57,8112.6,9721.81,11099.57,4565.81,9220.06,8013.72,7860.22,9041.56,9938.59,12134.46,12133.55,9169.27,9162.64,9777.77
54,dpy-31,Zinc metalloproteinase dpy-31,3,176014,3110.23,3204.47,2163.79,,,,,,,,,,,,,,,,,,,,,,,
55,F45D3.4,hypothetical protein,3,179718,3122.58,1550.45,4310.92,,,,,,,,,,,,,,,,,,,,,,,
56,R11G1.6,hypothetical protein,3,180654,3125.95,2637.41,2672.46,8046.79,3806.51,7762.72,14122.97,7573.11,7243.46,5187.48,5199.27,8885.78,9908.65,6073.4,7333.1,10622.36,7973.92,9997.53,9984.0,12291.89,9749.37,10594.0,9560.21,7559.98,9328.58,7200.76
57,nhr-120,Nuclear Hormone Receptor family,1,182882,3127.32,3192.23,2197.35,,,,,,,,,,,,,,,,,,,,,,,
58,ZC247.1,hypothetical protein,3,172895,3128.85,3073.85,2289.43,,,,,,,,,,,,,,,,,,,,,,,
59,rol-3,Protein roller-3,1,179204,3139.66,2859.31,2485.21,,,,,,,,,,,,,,,,,,,,,,,
60,ncx-2,Na/Ca eXchangers,2,178918,3161.03,3593.27,1974.7,8521.35,7329.4,9917.44,11991.29,11823.65,9191.27,9465.78,6611.68,10252.9,5860.62,7942.38,10517.0,8843.33,8202.03,11042.43,6108.04,8568.14,9442.23,8697.28,8098.46,8793.46,5587.84,8341.4
61,spv-1,Spermathecal Physiology Variant,1,174278,3227.96,3223.05,2321.49,6755.46,6659.79,9774.55,8416.6,9546.34,10006.77,9090.33,6820.55,9765.97,9542.23,5206.42,9039.21,6256.73,7105.4,10164.01,7895.6,12269.74,11953.5,8685.8,11028.51,9338.75,7995.71,8962.59
62,lgc-22,Ligand-Gated ion Channel,3,184533,3229.32,2443.85,3069.12,,,,,,,,,,,,,,,,,,,,,,,
63,R07G3.8,hypothetical protein,1,174234,3252.28,2709.69,2815.35,8229.82,5938.32,13094.12,13725.28,14642.92,15497.12,12385.47,12863.92,11488.13,10932.0,8024.28,10183.84,7076.51,8264.54,13497.28,9511.07,8123.22,12649.03,8994.87,11370.01,8474.67,12638.2,11655.44
64,cyp-33E1,CYtochrome P450 family,1,183602,3277.02,2021.66,3755.64,3176.19,7214.41,8036.7,16290.98,7639.31,5976.87,5051.83,6837.32,8429.98,9657.77,6526.62,9751.37,8051.73,9459.16,9805.34,10346.94,8694.61,13427.94,12020.53,10579.36,9793.44,10183.78,9595.0
65,tag-196,hypothetical protein,2,179240,3280.65,3275.26,2359.47,6371.17,5582.05,11541.29,8726.19,11982.72,11168.01,9727.37,9669.72,10622.58,10622.03,12053.73,,,,11921.79,11453.39,15801.46,11899.5,10564.75,9812.13,12822.86,11091.21,12245.15
66,F44A2.5,hypothetical protein,1,179310,3293.77,2202.04,3512.68,6497.61,2305.13,12806.53,11696.12,13975.06,10915.71,12273.62,11553.08,8118.72,13912.8,13177.91,9210.2,8357.85,9542.81,12750.15,11995.53,13359.12,11530.5,13526.06,10852.64,13791.16,11271.96,13679.77
67,mca-1,Calcium-transporting ATPase,2,177795,3305.16,2048.42,3771.85,6038.52,4674.94,9276.87,10300.21,11613.44,8687.47,7788.07,11712.6,9130.14,7571.45,6509.17,8307.2,9119.95,9317.88,9696.23,9113.85,7010.38,10364.93,10303.81,9514.66,11548.49,8772.14,10360.48
68,ikb-1,I Kappa B homolog,2,172817,3323.5,2418.46,3277.45,,,14977.67,13535.53,12192.79,8573.67,12332.85,14990.86,9141.26,10358.22,12332.24,,,,11806.14,13829.59,14603.98,10570.37,15569.03,8961.32,11605.07,9289.08,11037.94
69,unc-96,hypothetical protein,3,180413,3326.96,3003.05,2657.4,,,,,,,,,,,,,,,,,,,,,,,
70,sma-10,Leucine-rich repeats and immunoglobulin-like domains protein sma-10,1,176849,3340.23,3249.12,2469.08,4671.55,2690.01,5366.39,5310.97,8912.16,6426.47,5728.0,2936.78,5043.76,5878.23,5784.45,6077.41,5413.69,5860.18,6967.11,8835.52,4205.45,7026.73,4494.71,8864.04,5318.78,9262.86,2716.77
71,qua-1,Protein qua-1,3,174319,3351.26,2179.18,3663.63,,,,,,,,,,,,,,,,,,,,,,,
72,Y34B4A.4,hypothetical protein,2,180798,3352.91,2937.18,2760.72,7201.73,8522.16,13189.34,8146.82,16168.37,12190.45,12223.29,16868.63,10276.07,8110.36,10036.15,9500.92,7098.75,10996.03,8214.71,5960.35,9823.01,8826.34,11344.78,10425.61,11909.72,13536.3,14450.79
73,F47G3.1,hypothetical protein,3,180543,3355.72,2442.92,3307.74,,,,,,,,,,,,,,,,,,,,,,,
74,mca-2,Calcium-transporting ATPase,2,177004,3356.89,3468.5,2326.74,6038.52,4674.94,9276.87,10300.21,11613.44,8687.47,7788.07,11712.6,9130.14,7571.45,6509.17,8307.2,9119.95,9317.88,9696.23,9113.85,7010.38,10364.93,10303.81,9514.66,11548.49,8772.14,10360.48
75,T23F2.2,hypothetical protein,2,180822,3365.84,3230.2,2523.39,,,,,,,,,,,,,,,,,,,,,,,
76,C04E12.4,hypothetical protein,2,178767,3378.65,2169.14,3735.39,,,,,,,,,,,,,,,,,,,,,,,
77,dig-1,DIsplaced Gonad|Mesocentin,3,175951,3383.07,2745.16,3005.61,,,,,,,,,,,,,,,,,,,,,,,
78,pde-4,Phosphodiesterase|Probable 3':5'-cyclic phosphodiesterase pde-4,1,174235,3385.78,1844.77,,7083.72,5805.93,7069.46,8818.68,8776.57,5195.71,5229.82,7472.42,10470.63,9597.25,8357.49,9879.7,6144.19,9829.2,10804.55,8969.36,9383.95,6509.37,7098.19,9992.75,9146.05,6633.75,7158.87
79,nep-26,NEPrilysin metallopeptidase family,1,174593,3418.62,3010.95,2799.53,,,,,,,,,,,,,,,,,,,,,,,
80,C53C9.2,hypothetical protein,3,181031,3426.96,3147.19,2689.21,,,,,,,,,,,,,,,,,,,,,,,
81,C01C4.3,Putative serine/threonine-protein kinase C01C4.3,1,180660,3435.11,1838.27,4437.82,5343.65,3423.49,11578.42,10683.85,11885.5,11879.61,12242.44,13542.89,9539.71,10512.84,9209.01,9702.6,7776.15,8555.93,10522.09,10091.42,7295.67,10537.48,13761.76,11220.61,10045.04,11866.95,7876.15
82,snt-1,SyNapTotagmin|Synaptotagmin-1,2,174120,3438.17,2487.67,3407.94,5954.36,4775.83,6852.77,8480.79,6669.77,8385.94,6400.36,6805.15,9637.71,7029.5,5952.91,5508.02,5916.32,4945.29,10797.31,9169.35,7146.94,7101.15,5584.46,8230.11,5207.98,3641.71,8260.52
83,twk-8,TWiK family of potassium channels,3,177727,3443.85,2709.31,3152.93,5393.67,6146.76,9086.08,10589.63,11574.84,7727.93,7510.83,6217.46,9960.71,6937.35,7537.2,8352.42,6466.55,6171.14,9041.65,9599.43,11360.92,8804.02,7633.81,6785.74,7467.34,9357.76,9177.63
84,cpna-5,Copine family protein 5,2,174248,3449.45,2323.14,3651.99,,,,,,,,,,,,,,,,,,,,,,,
85,F16C3.2,hypothetical protein,3,172879,3451.81,2367.53,3594.33,,,,,,,,,,,,,,,,,,,,,,,
86,dpf-6,Dipeptidyl peptidase family member 6,3,176132,3458.91,2074.16,4057.98,,,14049.03,13857.44,12097.57,11193.38,13437.08,13560.99,8383.53,13575.8,12966.84,9606.41,9025.5,9186.46,11031.16,11717.75,10170.72,9555.7,13704.14,10657.16,9247.8,10061.04,8880.35
87,F25E5.8,hypothetical protein,3,184927,3470.54,3135.01,2769.88,,,,,,,,,,,,,,,,,,,,,,,
88,dhp-1,Dihydropyrimidinase 1,1,172464,3480.34,2710.88,3216.97,5574.96,6073.8,9477.63,5429.49,11423.73,7172.7,7518.24,9990.36,7117.03,6206.93,7341.9,7229.81,7424.84,5780.99,9880.76,8768.18,8235.46,9253.85,7187.16,8213.91,7046.05,5278.43,7544.22
89,slt-1,Slit homolog 1 protein,1,181562,3484.64,3289.47,2657.6,3696.36,3473.26,8734.51,7241.05,11129.01,12347.28,8974.92,7545.9,8257.02,4338.63,7844.91,4683.25,7092.33,5724.55,6360.16,7134.89,4928.19,9734.13,6134.62,8675.79,8197.97,6502.74,2860.84
90,C02G6.3,hypothetical protein,0,4363095,3489.5,,1556.76,,,,,,,,,,,,,,,,,,,,,,,
91,T22B11.4,hypothetical protein,3,177234,3506.88,4653.82,1822.18,,,,,,,,,,,,,,,,,,,,,,,
92,glb-5,GLoBin related,0,182776,3515.84,7023.23,1037.79,,,,,,,,,,,,,,,,,,,,,,,
93,H03E18.1,hypothetical protein,3,181103,3527.56,2901.77,3092.22,,,,,,,,,,,,,,,,,,,,,,,
94,cpna-1,Copine family protein 1,3,173753,3528.23,2728.14,3284.1,,,,,,,,,,,,,,,,,,,,,,,
95,K06A9.2,hypothetical protein,2,180493,3537.72,2866.14,3147.72,,,,,,,,,,,,,,,,,,,,,,,
96,myo-1,Myosin-1,3,172471,3540.62,3627.83,2475.21,4520.55,5665.9,5398.77,8311.42,6305.53,7483.42,5333.69,6653.79,7628.71,6009.39,7156.27,6282.0,6321.1,4937.73,7885.16,8320.7,6208.14,7466.86,7762.22,8349.72,5075.49,4035.02,4888.4
97,cpt-4,Carnitine Palmitoyl Transferase,1,178889,3575.25,7557.77,956.82,,,,,,,,,,,,,,,,,,,,,,,
98,C24G6.2,hypothetical protein,0,178936,3581.57,2532.27,3625.7,,,,,,,,,,,,,,,,,,,,,,,
99,ncam-1,NCAM (neural cell adhesion molecule) homolog,3,180418,3582.46,4220.08,2142.58,3126.86,2773.48,7781.33,9245.49,12752.96,12837.43,10607.97,11266.97,9948.3,8215.66,7984.25,9233.31,10259.74,4518.11,8345.69,5853.27,8751.44,11935.55,9910.2,13013.57,8190.11,9331.19,7354.51
100,F42C5.4,hypothetical protein,2,177501,3590.41,2298.78,3974.54,,,,,,,,,,,,,,,,,,,,,,,
101,F16C3.3,hypothetical protein,0,3565329,3611.75,,2435.98,,,,,,,,,,,,,,,,,,,,,,,
102,tmc-2,TMC (TransMembrane Channel-like protein) family|Transmembrane channel-like protein 2,2,181161,3615.57,3404.48,2764.46,7943.3,7210.16,11051.41,11717.37,12643.51,9563.88,14347.49,11919.91,7166.07,10143.73,10247.43,10056.33,9569.64,6710.67,12948.88,11484.85,10981.65,10363.62,11975.6,11278.0,7000.01,7070.06,10761.22
103,nfm-1,NeuroFibroMatosis homolog,2,175870,3616.44,2675.11,3510.23,,,,,,,,,,,,,,,,,,,,,,,
104,C07B5.4,hypothetical protein,0,182361,3618.63,2571.47,3645.82,,,6949.66,10309.93,5953.82,7952.32,5760.2,7999.19,7051.1,9203.06,9054.37,7725.88,9351.79,7798.96,6443.07,7706.36,10750.76,7357.99,8878.1,5464.22,11268.37,9302.5,10320.77
105,ajm-1,Apical Junction Molecule,2,181148,3620.59,3126.75,3024.19,5555.93,3967.76,14032.89,12194.55,11245.74,13921.1,11527.01,13800.55,9935.77,10046.73,9536.3,8325.3,7726.67,10835.96,13072.45,12615.85,9521.52,8108.76,11249.35,8800.54,11798.95,11126.2,14083.94
106,nekl-3,Serine/threonine-protein kinase nekl-3,1,181398,3626.01,4065.47,2293.93,,,11175.45,11933.55,11223.84,10743.89,9944.28,8923.92,8610.25,7302.37,6662.72,8309.39,7952.74,7609.7,7969.64,8605.01,12531.03,8754.5,9918.33,9202.65,12382.1,12206.68,11080.13
107,C17H11.6,hypothetical protein,2,181076,3628.94,5804.04,1475.99,,,13416.8,15433.01,12635.58,15082.72,12796.07,13508.14,10751.79,7313.71,10867.08,10489.83,11635.14,12540.41,11623.54,11539.77,10518.58,12372.82,13296.92,13043.49,14082.88,14320.5,9441.75
108,cyp-25A6,CYtochrome P450 family,0,187059,3632.08,2037.3,,2398.44,2311.25,5564.01,9450.11,6785.09,5677.48,3884.99,5529.59,5788.43,9119.88,4995.95,7952.66,8161.5,7829.71,10673.79,11095.78,9830.36,5930.08,5935.51,8701.06,2268.67,4262.96,7297.45
109,clh-4,Chloride channel protein,0,180687,3635.01,3221.98,2957.56,,,,,,,,,,,,,,,,,,,,,,,
110,C05D9.9,hypothetical protein,3,180466,3635.18,1714.25,5177.21,,,,,,,,,,,,,,,,,,,,,,,
111,C27H5.2,hypothetical protein,1,174176,3639.73,2440.23,3866.27,2945.58,2263.98,7598.66,6367.83,3960.08,4936.03,6205.2,5272.75,6365.49,3927.91,5812.19,7240.94,6429.58,6176.64,3176.96,6423.54,3864.77,6717.23,5747.27,7340.87,8761.61,6195.65,6754.26
112,B0310.3,hypothetical protein,1,181923,3655.79,1781.99,5072.51,,,,,,,,,,,,,,,,,,,,,,,
113,ZC443.4,hypothetical protein,0,191170,3660.22,2193.7,4289.05,,,,,,,,,,,,,,,,,,,,,,,
114,Y42G9A.3,hypothetical protein,3,175865,3662.89,2757.68,3496.58,8483.21,5712.4,12707.99,13602.67,13488.98,12141.66,8365.59,11927.95,9074.31,6288.01,7297.03,10139.94,7926.03,7848.14,12256.68,13200.55,10484.68,13891.42,12519.58,12655.73,12510.61,9690.97,9967.2
115,myo-2,Myosin-2,3,181404,3675.2,4125.04,2321.53,4520.55,5665.9,5398.77,8311.42,6305.53,7483.42,5333.69,6653.79,7628.71,6009.39,7156.27,6282.0,6321.1,4937.73,7885.16,8320.7,6208.14,7466.86,7762.22,8349.72,5075.49,4035.02,4888.4
116,nhr-173,Nuclear Hormone Receptor family,0,183862,3675.32,4183.11,2285.07,,,,,,,,,,,,,,,,,,,,,,,
117,yap-1,Yes-associated protein homolog 1,1,181267,3679.83,2215.83,4294.05,9149.06,7818.62,4696.6,6093.94,8792.91,6717.09,6975.88,3483.74,6070.78,6725.16,7116.43,7528.7,8430.56,6590.85,6669.92,7174.55,7290.47,10116.56,8052.52,9545.92,11370.85,9490.79,7241.28
118,let-23,Receptor protein-tyrosine kinase|Receptor tyrosine-protein kinase let-23,1,174462,3685.59,2650.76,3671.7,2657.47,3005.52,3843.86,9699.53,4635.23,6761.07,4833.74,4054.72,6992.48,6126.15,3918.4,4158.47,6316.01,5061.8,7415.76,6870.64,8073.43,7682.55,4044.67,5772.39,6500.52,3195.55,5291.45
